11612 Landroid/net/ConnectivityManager;->getNetworkPreference
11624 Landroid/net/ConnectivityManager;->isActiveNetworkMetered
11641 Landroid/net/ConnectivityManager;->requestRouteToHost
11647 Landroid/net/ConnectivityManager;->setNetworkPreference
11653 Landroid/net/ConnectivityManager;->startUsingNetworkFeature
11654 Landroid/net/ConnectivityManager;->stopUsingNetworkFeature
12250 Landroid/net/sip/SipAudioCall;->close
12252 Landroid/net/sip/SipAudioCall;->endCall
12263 Landroid/net/sip/SipAudioCall;->setSpeakerMode
12264 Landroid/net/sip/SipAudioCall;->startAudio
12268 Landroid/net/sip/SipManager;->close
12274 Landroid/net/sip/SipManager;->getSessionFor
12277 Landroid/net/sip/SipManager;->isOpened
12278 Landroid/net/sip/SipManager;->isRegistered
12281 Landroid/net/sip/SipManager;->makeAudioCall
12283 Landroid/net/sip/SipManager;->open
12284 Landroid/net/sip/SipManager;->register
12285 Landroid/net/sip/SipManager;->setRegistrationListener
12286 Landroid/net/sip/SipManager;->takeAudioCall
12287 Landroid/net/sip/SipManager;->unregister
12412 Landroid/net/wifi/WifiManager$MulticastLock;->acquire
12415 Landroid/net/wifi/WifiManager$MulticastLock;->release
12418 Landroid/net/wifi/WifiManager$WifiLock;->acquire
12421 Landroid/net/wifi/WifiManager$WifiLock;->release
12430 Landroid/net/wifi/WifiManager;->addNetwork
12442 Landroid/net/wifi/WifiManager;->disableNetwork
12443 Landroid/net/wifi/WifiManager;->disconnect
12445 Landroid/net/wifi/WifiManager;->enableNetwork
12455 Landroid/net/wifi/WifiManager;->getConfiguredNetworks
12456 Landroid/net/wifi/WifiManager;->getConnectionInfo
12459 Landroid/net/wifi/WifiManager;->getDhcpInfo
12462 Landroid/net/wifi/WifiManager;->getScanResults
12468 Landroid/net/wifi/WifiManager;->getWifiState
12490 Landroid/net/wifi/WifiManager;->isWifiEnabled
12492 Landroid/net/wifi/WifiManager;->pingSupplicant
12494 Landroid/net/wifi/WifiManager;->reassociate
12495 Landroid/net/wifi/WifiManager;->reconnect
12496 Landroid/net/wifi/WifiManager;->removeNetwork
12499 Landroid/net/wifi/WifiManager;->saveConfiguration
12508 Landroid/net/wifi/WifiManager;->setWifiEnabled
12511 Landroid/net/wifi/WifiManager;->startScan
12517 Landroid/net/wifi/WifiManager;->updateNetwork
12703 Landroid/net/wifi/p2p/WifiP2pManager;->initialize
12806 Landroid/nfc/NfcAdapter;->disableForegroundDispatch
12807 Landroid/nfc/NfcAdapter;->disableForegroundNdefPush
12812 Landroid/nfc/NfcAdapter;->enableForegroundDispatch
12813 Landroid/nfc/NfcAdapter;->enableForegroundNdefPush
12830 Landroid/nfc/NfcAdapter;->setBeamPushUris
12831 Landroid/nfc/NfcAdapter;->setBeamPushUrisCallback
12832 Landroid/nfc/NfcAdapter;->setNdefPushMessage
12833 Landroid/nfc/NfcAdapter;->setNdefPushMessageCallback
12834 Landroid/nfc/NfcAdapter;->setOnNdefPushCompleteCallback
12890 Landroid/nfc/tech/IsoDep;->close
12891 Landroid/nfc/tech/IsoDep;->connect
12897 Landroid/nfc/tech/IsoDep;->getTimeout
12901 Landroid/nfc/tech/IsoDep;->setTimeout
12902 Landroid/nfc/tech/IsoDep;->transceive
12904 Landroid/nfc/tech/MifareClassic;->authenticateSectorWithKeyA
12905 Landroid/nfc/tech/MifareClassic;->authenticateSectorWithKeyB
12907 Landroid/nfc/tech/MifareClassic;->close
12908 Landroid/nfc/tech/MifareClassic;->connect
12909 Landroid/nfc/tech/MifareClassic;->decrement
12919 Landroid/nfc/tech/MifareClassic;->increment
12921 Landroid/nfc/tech/MifareClassic;->readBlock
12923 Landroid/nfc/tech/MifareClassic;->restore
12925 Landroid/nfc/tech/MifareClassic;->setTimeout
12926 Landroid/nfc/tech/MifareClassic;->transceive
12927 Landroid/nfc/tech/MifareClassic;->transfer
12928 Landroid/nfc/tech/MifareClassic;->writeBlock
12930 Landroid/nfc/tech/MifareUltralight;->close
12931 Landroid/nfc/tech/MifareUltralight;->connect
12938 Landroid/nfc/tech/MifareUltralight;->readPages
12941 Landroid/nfc/tech/MifareUltralight;->transceive
12942 Landroid/nfc/tech/MifareUltralight;->writePage
12945 Landroid/nfc/tech/Ndef;->close
12946 Landroid/nfc/tech/Ndef;->connect
12950 Landroid/nfc/tech/Ndef;->getNdefMessage
12955 Landroid/nfc/tech/Ndef;->makeReadOnly
12957 Landroid/nfc/tech/Ndef;->writeNdefMessage
12958 Landroid/nfc/tech/NdefFormatable;->close
12959 Landroid/nfc/tech/NdefFormatable;->connect
12960 Landroid/nfc/tech/NdefFormatable;->format
12961 Landroid/nfc/tech/NdefFormatable;->formatReadOnly
12967 Landroid/nfc/tech/NfcA;->close
12968 Landroid/nfc/tech/NfcA;->connect
12974 Landroid/nfc/tech/NfcA;->getTimeout
12977 Landroid/nfc/tech/NfcA;->setTimeout
12978 Landroid/nfc/tech/NfcA;->transceive
12980 Landroid/nfc/tech/NfcB;->close
12981 Landroid/nfc/tech/NfcB;->connect
12989 Landroid/nfc/tech/NfcB;->transceive
13000 Landroid/nfc/tech/NfcF;->close
13001 Landroid/nfc/tech/NfcF;->connect
13007 Landroid/nfc/tech/NfcF;->getTimeout
13010 Landroid/nfc/tech/NfcF;->setTimeout
13011 Landroid/nfc/tech/NfcF;->transceive
13013 Landroid/nfc/tech/NfcV;->close
13014 Landroid/nfc/tech/NfcV;->connect
13022 Landroid/nfc/tech/NfcV;->transceive
14450 Landroid/os/PowerManager$WakeLock;->acquire
14453 Landroid/os/PowerManager$WakeLock;->release
14676 Landroid/os/Vibrator;->cancel
14678 Landroid/os/Vibrator;->vibrate
15382 Landroid/provider/Browser;->addSearchUrl
15383 Landroid/provider/Browser;->canClearHistory
15384 Landroid/provider/Browser;->clearHistory
15385 Landroid/provider/Browser;->clearSearches
15386 Landroid/provider/Browser;->deleteFromHistory
15387 Landroid/provider/Browser;->deleteHistoryTimeFrame
15388 Landroid/provider/Browser;->getAllBookmarks
15389 Landroid/provider/Browser;->getAllVisitedUrls
15394 Landroid/provider/Browser;->truncateHistory
15395 Landroid/provider/Browser;->updateVisitedHistory
15401 Landroid/provider/CalendarContract$Attendees;->query
15408 Landroid/provider/CalendarContract$EventDays;->query
15410 Landroid/provider/CalendarContract$Instances;->query
15411 Landroid/provider/CalendarContract$Reminders;->query
15414 Landroid/provider/CallLog$Calls;->getLastOutgoingCall
15423 Landroid/provider/Contacts$People;->addToGroup
15424 Landroid/provider/Contacts$People;->addToMyContactsGroup
15425 Landroid/provider/Contacts$People;->createPersonInMyContactsGroup
15427 Landroid/provider/Contacts$People;->markAsContacted
15429 Landroid/provider/Contacts$People;->queryGroups
15448 Landroid/provider/ContactsContract$Contacts;->getLookupUri
15451 Landroid/provider/ContactsContract$Contacts;->markAsContacted
15453 Landroid/provider/ContactsContract$Data;->getContactLookupUri
15471 Landroid/provider/ContactsContract$RawContacts;->getContactLookupUri
15476 Landroid/provider/ContactsContract$SyncState;->get
15479 Landroid/provider/ContactsContract$SyncState;->set
15625 Landroid/provider/Settings$Secure;->getUriFor
15628 Landroid/provider/Settings$Secure;->putFloat
15630 Landroid/provider/Settings$Secure;->putInt
15632 Landroid/provider/Settings$Secure;->putLong
15634 Landroid/provider/Settings$Secure;->putString
15636 Landroid/provider/Settings$Secure;->setLocationProviderEnabled
15653 Landroid/provider/Settings$System;->getUriFor
15654 Landroid/provider/Settings$System;->putConfiguration
15656 Landroid/provider/Settings$System;->putFloat
15658 Landroid/provider/Settings$System;->putInt
15660 Landroid/provider/Settings$System;->putLong
15662 Landroid/provider/Settings$System;->putString
15692 Landroid/provider/UserDictionary$Words;->addWord
15694 Landroid/provider/VoicemailContract$Status;->buildSourceUri
15695 Landroid/provider/VoicemailContract$Voicemails;->buildSourceUri
17231 Landroid/speech/SpeechRecognizer;->cancel
17235 Landroid/speech/SpeechRecognizer;->setRecognitionListener
17236 Landroid/speech/SpeechRecognizer;->startListening
17237 Landroid/speech/SpeechRecognizer;->stopListening
19294 Landroid/telephony/SmsManager;->sendDataMessage
19296 Landroid/telephony/SmsManager;->sendMultipartTextMessage
19300 Landroid/telephony/SmsManager;->sendTextMessage
19449 Landroid/telephony/TelephonyManager;->getCellLocation
19457 Landroid/telephony/TelephonyManager;->getDeviceId
19458 Landroid/telephony/TelephonyManager;->getDeviceSoftwareVersion
19473 Landroid/telephony/TelephonyManager;->getLine1Number
19481 Landroid/telephony/TelephonyManager;->getNeighboringCellInfo
19501 Landroid/telephony/TelephonyManager;->getSimSerialNumber
19507 Landroid/telephony/TelephonyManager;->getSubscriberId
19510 Landroid/telephony/TelephonyManager;->getVoiceMailAlphaTag
19511 Landroid/telephony/TelephonyManager;->getVoiceMailNumber
19542 Landroid/telephony/TelephonyManager;->listen
19619 Landroid/telephony/gsm/SmsManager;->sendDataMessage
19620 Landroid/telephony/gsm/SmsManager;->sendMultipartTextMessage
19621 Landroid/telephony/gsm/SmsManager;->sendTextMessage
22323 Landroid/view/View;->startDrag
24341 Landroid/webkit/WebView;-><init>
24584 Landroid/webkit/WebViewFragment;->onCreateView
26087 Landroid/widget/QuickContactBadge;->assignContactFromEmail
26088 Landroid/widget/QuickContactBadge;->assignContactFromPhone
26094 Landroid/widget/QuickContactBadge;->onClick
27135 Landroid/widget/VideoView;->onKeyDown
27140 Landroid/widget/VideoView;->pause
27142 Landroid/widget/VideoView;->resume
27150 Landroid/widget/VideoView;->setVideoPath
27151 Landroid/widget/VideoView;->setVideoURI
27152 Landroid/widget/VideoView;->start
27153 Landroid/widget/VideoView;->stopPlayback
27154 Landroid/widget/VideoView;->suspend
46735 Ljava/net/DatagramSocket;-><init>
46822 Ljava/net/HttpURLConnection;-><init>
46925 Ljava/net/MulticastSocket;-><init>
46994 Ljava/net/ServerSocket;-><init>
46996 Ljava/net/ServerSocket;->bind
47014 Ljava/net/Socket;-><init>
47131 Ljava/net/URL;->getContent
47142 Ljava/net/URL;->openConnection
47143 Ljava/net/URL;->openStream
47163 Ljava/net/URLConnection;->connect
47186 Ljava/net/URLConnection;->getInputStream
54913 Lorg/apache/http/impl/client/DefaultHttpClient;-><init>
